     doc_idx|      recall|   precision|      fscore
           0|         0.5|0.1666666666|        0.25
           1|         0.5|0.1666666666|        0.25
           2|        0.75|         0.5|         0.6
           3|        0.75|         0.5|         0.6
           4|           0|           0|           0
           5|           0|           0|           0
           6|         1.0|0.3333333333|         0.5
           7|0.3333333333|0.1666666666|0.2222222222
           8|0.3333333333|0.1666666666|0.2222222222
           9|         1.0|0.1666666666|0.2857142857
