     doc_idx|      recall|   precision|      fscore
           0|         0.5|        0.25|0.3333333333
           1|           0|           0|           0
           2|         0.5|         0.5|         0.5
           3|         0.5|         0.5|         0.5
           4|         1.0|        0.25|         0.4
           5|           0|           0|           0
           6|         1.0|         0.5|0.6666666666
           7|0.3333333333|        0.25|0.2857142857
           8|0.3333333333|        0.25|0.2857142857
           9|         1.0|        0.25|         0.4
