     doc_idx|      recall|   precision|      fscore
           0|         1.0|0.2857142857|0.4444444444
           1|         1.0|0.2857142857|0.4444444444
           2|        0.75|0.4285714285|0.5454545454
           3|         1.0|0.5714285714|0.7272727272
           4|         1.0|0.1428571428|        0.25
           5|         1.0|0.1428571428|        0.25
           6|         1.0|0.2857142857|0.4444444444
           7|0.6666666666|0.2857142857|         0.4
           8|0.3333333333|0.1428571428|         0.2
           9|         1.0|0.1428571428|        0.25
