     doc_idx|      recall|   precision|      fscore
           0|         1.0|         0.4|0.5714285714
           1|         1.0|         0.4|0.5714285714
           2|        0.25|         0.2|0.2222222222
           3|         0.5|         0.4|0.4444444444
           4|         1.0|         0.2|0.3333333333
           5|           0|           0|           0
           6|         0.5|         0.2|0.2857142857
           7|0.3333333333|         0.2|        0.25
           8|           0|           0|           0
           9|         1.0|         0.2|0.3333333333
