     doc_idx|      recall|   precision|      fscore
           0|         0.5|         0.2|0.2857142857
           1|           0|           0|           0
           2|           0|           0|           0
           3|         0.5|         0.4|0.4444444444
           4|         1.0|         0.2|0.3333333333
           5|           0|           0|           0
           6|         1.0|         0.4|0.5714285714
           7|           0|           0|           0
           8|0.3333333333|         0.2|        0.25
           9|         1.0|         0.2|0.3333333333
