     doc_idx|      recall|   precision|      fscore
           0|           0|           0|           0
           1|           0|           0|           0
           2|           0|           0|           0
           3|        0.25|         0.5|0.3333333333
           4|         1.0|         0.5|0.6666666666
           5|           0|           0|           0
           6|         1.0|         1.0|         1.0
           7|           0|           0|           0
           8|0.3333333333|         0.5|         0.4
           9|         1.0|         0.5|0.6666666666
